1,E. D. Abbott Ltd, Abbott of Farnham E D Abbott Limited was a British coachbuilding business based in Farnham Surrey trading under that name from 1929. A major part of their output was under sub-contract to motor vehicle manufacturers. Their business closed in 1972.
1,Michael Best & Friedrich LLP, Michael Best & Friedrich LLP is a U.S. law firm with more than 220 attorneys and offices located in Milwaukee Madison Waukesha and Manitowoc Wisconsin; Chicago Illinois; Washington D.C; and Salt Lake City Utah.
1,Centurion Bank of Punjab, The Centurion Bank of Punjab (formerly Centurion Bank) was an Indian private sector bank that provided retail and corporate banking services. It operated on a strong nationwide franchise of 403 branches and had over 5000 employees. The Bank's shares were listed on the major Indian stock exchanges and on the Luxembourg Stock Exchange. On 23 May 2008 HDFC acquired Centurion Bank of Punjab.
1,Carlsberg Srbija, Carlsberg Srbija (full legal name: Carlsberg Srbija d.o.o. Čelarevo) is a beer brewery in Serbia majority owned by Danish Carlsberg Group since 2003. Known by its signature brand Lav pivo it is located in the village of Čelarevo in Bačka Palanka municipality and has around 600 employees.
1,Amdocs, Amdocs Limited is a provider of software and services for communications media and entertainment industry service providers. The company develops implements and manages software and services for business support systems (BSS) including billing customer relationship management (CRM) and for operations support systems (OSS). Amdocs is the market leader in Telecommunication Billing Services which forms the major strength of the company.
1,CipSoft, CipSoft GmbH or CIP is a video game developer based in Regensburg Germany which produces the online roleplaying game Tibia. They also market Tibia Micro Edition a cell-phone-based version of the game.
1,Apatow Productions, Apatow Productions is an American film and television production company founded by Judd Apatow in 1999.
1,Hana Financial Group, Hana Financial Group (HFG) is one of the largest bank holding companies in Korea.The company was established in 1971 as Korea Investment & Finance the nation’s first financial company established financed solely by private fund. 'Hana' is a word in Korean meaning one or unity and Hana Financial Group's symbol ㅎ represents the first consonant of 'Hana or 하나' in Korean.Hana Bank Hana Financial Group’s primary banking subsidiary was converted into a commercial bank in 1991.
1,Panzerfaust Records, Panzerfaust Records was a Minnesota-based white power record label founded in September 1998 by Anthony Pierpont Ed Wolbank and Eric Davidson (who had previously worked at Resistance Records). Named after a German anti-tank rocket the record label distributed the music of several white power bands and organized concerts across the United States.
1,PIPE Networks, PIPE Networks (also known as PIPE) is an Australian company based in Brisbane Queensland primarily involved in setting up peering exchanges. PIPE itself stands for Public Internet Peering Exchange.
